t,Tpot K06_20230829102709,Tpot K06_20230829102634,Tpot K06_20230829102704,Tpot K06_20230829102716,Tpot K06_20230829102654,Tpot K06_20230829102647,Tpot K06_20230903164607,Tpot K06_20230903163517
3.55,1698.91,1844.93,1825.42,1574.63,1588.81,1715.69,1784.37,1656.11
3.56,1699.1,1845.96,1826.19,1574.25,1588.59,1716.09,1785.11,1656.21
3.57,1699.27,1847.0,1826.95,1573.86,1588.37,1716.49,1785.84,1656.32
3.58,1699.43,1848.03,1827.71,1573.46,1588.14,1716.87,1786.57,1656.41
3.59,1699.59,1849.06,1828.46,1573.04,1587.91,1717.26,1787.3,1656.5
3.6,1699.73,1850.09,1829.19,1572.62,1587.66,1717.63,1788.02,1656.58
3.61,1699.86,1851.12,1829.92,1572.18,1587.41,1718.01,1788.74,1656.66
3.62,1699.98,1852.14,1830.64,1571.72,1587.14,1718.37,1789.45,1656.72
3.63,1700.09,1853.16,1831.35,1571.25,1586.87,1718.73,1790.16,1656.78
3.64,1700.18,1854.18,1832.04,1570.77,1586.59,1719.09,1790.86,1656.84
3.65,1700.27,1855.2,1832.73,1570.28,1586.3,1719.44,1791.56,1656.88
3.66,1700.34,1856.21,1833.4,1569.77,1586.01,1719.78,1792.26,1656.92
3.67,1700.4,1857.22,1834.07,1569.25,1585.7,1720.12,1792.96,1656.95
3.68,1700.44,1858.23,1834.72,1568.72,1585.38,1720.45,1793.64,1656.98
3.69,1700.48,1859.23,1835.36,1568.17,1585.06,1720.77,1794.33,1656.99
3.7,1700.5,1860.23,1835.99,1567.6,1584.73,1721.09,1795.01,1657.0
3.71,1700.5,1861.23,1836.6,1567.02,1584.38,1721.41,1795.69,1657.0
3.72,1700.49,1862.23,1837.21,1566.43,1584.03,1721.72,1796.36,1657.0
3.73,1700.47,1863.23,1837.8,1565.82,1583.67,1722.02,1797.03,1656.98
3.74,1700.43,1864.22,1838.37,1565.19,1583.3,1722.31,1797.69,1656.96
3.75,1700.38,1865.21,1838.93,1564.55,1582.92,1722.6,1798.35,1656.94
3.76,1700.31,1866.2,1839.48,1563.89,1582.54,1722.89,1799.01,1656.9
3.77,1700.22,1867.18,1840.01,1563.22,1582.14,1723.16,1799.66,1656.86
3.78,1700.12,1868.16,1840.52,1562.53,1581.73,1723.44,1800.3,1656.8
3.79,1700.01,1869.14,1841.02,1561.82,1581.31,1723.7,1800.94,1656.74
3.8,1699.87,1870.12,1841.5,1561.09,1580.89,1723.96,1801.58,1656.68
3.81,1699.72,1871.09,1841.96,1560.35,1580.45,1724.21,1802.22,1656.6
3.82,1699.54,1872.06,1842.41,1559.58,1580.01,1724.46,1802.84,1656.52
3.83,1699.35,1873.03,1842.84,1558.8,1579.55,1724.7,1803.47,1656.43
3.84,1699.14,1873.99,1843.24,1558.0,1579.09,1724.93,1804.09,1656.33
3.85,1698.91,1874.95,1843.63,1557.18,1578.61,1725.16,1804.7,1656.22
3.86,1698.66,1875.91,1844.0,1556.34,1578.12,1725.38,1805.32,1656.1
3.87,1698.39,1876.87,1844.34,1555.48,1577.63,1725.59,1805.92,1655.98
3.88,1698.1,1877.82,1844.66,1554.59,1577.12,1725.8,1806.52,1655.85
3.89,1697.78,1878.77,1844.96,1553.69,1576.61,1726.0,1807.12,1655.71
3.9,1697.44,1879.72,1845.23,1552.76,1576.08,1726.19,1807.71,1655.56
3.91,1697.08,1880.67,1845.48,1551.81,1575.55,1726.38,1808.3,1655.4
3.92,1696.69,1881.61,1845.7,1550.84,1575.0,1726.56,1808.88,1655.24
3.93,1696.28,1882.55,1845.9,1549.84,1574.45,1726.73,1809.46,1655.06
3.94,1695.84,1883.49,1846.06,1548.82,1573.88,1726.9,1810.04,1654.88
3.95,1695.37,1884.42,1846.2,1547.77,1573.3,1727.06,1810.61,1654.69
3.96,1694.88,1885.35,1846.31,1546.7,1572.71,1727.21,1811.17,1654.49
3.97,1694.35,1886.28,1846.38,1545.59,1572.12,1727.36,1811.73,1654.28
3.98,1693.79,1887.2,1846.42,1544.46,1571.51,1727.5,1812.28,1654.06
3.99,1693.21,1888.13,1846.42,1543.31,1570.89,1727.63,1812.83,1653.84
4.0,1692.59,1889.04,1846.39,1542.12,1570.26,1727.76,1813.38,1653.6
4.01,1691.93,1889.96,1846.32,1540.9,1569.61,1727.87,1813.92,1653.36
4.02,1691.24,1890.87,1846.21,1539.65,1568.96,1727.98,1814.45,1653.1
4.03,1690.51,1891.78,1846.06,1538.37,1568.3,1728.09,1814.98,1652.84
4.04,1689.75,1892.69,1845.86,1537.05,1567.62,1728.18,1815.5,1652.57
4.05,1688.94,1893.59,1845.62,1535.7,1566.94,1728.27,1816.02,1652.29
4.06,1688.09,1894.49,1845.32,1534.32,1566.24,1728.35,1816.54,1652.0
4.07,1687.2,1895.39,1844.98,1532.89,1565.53,1728.43,1817.05,1651.7
4.08,1686.26,1896.29,1844.59,1531.43,1564.81,1728.49,1817.55,1651.39
4.09,1685.28,1897.18,1844.14,1529.93,1564.08,1728.55,1818.05,1651.07
4.1,1684.25,1898.06,1843.63,1528.38,1563.33,1728.6,1818.54,1650.74
4.11,1683.16,1898.95,1843.06,1526.8,1562.58,1728.65,1819.03,1650.4
4.12,1682.02,1899.83,1842.42,1525.16,1561.81,1728.68,1819.51,1650.06
4.13,1680.82,1900.71,1841.72,1523.48,1561.03,1728.71,1819.99,1649.7
4.14,1679.57,1901.59,1840.94,1521.75,1560.24,1728.73,1820.46,1649.33
4.15,1678.25,1902.46,1840.09,1519.98,1559.44,1728.75,1820.93,1648.96
4.16,1676.87,1903.33,1839.16,1518.14,1558.63,1728.75,1821.39,1648.57
4.17,1675.41,1904.19,1838.15,1516.26,1557.8,1728.75,1821.85,1648.18
4.18,1673.89,1905.05,1837.05,1514.31,1556.96,1728.74,1822.3,1647.77
4.19,1672.29,1905.91,1835.85,1512.3,1556.11,1728.72,1822.74,1647.35
4.2,1670.61,1906.77,1834.56,1510.24,1555.24,1728.69,1823.18,1646.93
4.21,1668.84,1907.62,1833.16,1508.1,1554.37,1728.66,1823.62,1646.49
4.22,1666.99,1908.47,1831.65,1505.89,1553.48,1728.61,1824.05,1646.04
4.23,1665.04,1909.32,1830.03,1503.62,1552.58,1728.56,1824.47,1645.59
4.24,1663.0,1910.16,1828.28,1501.26,1551.66,1728.5,1824.89,1645.12
4.25,1660.85,1911.0,1826.41,1498.83,1550.74,1728.43,1825.3,1644.64
4.26,1658.6,1911.83,1824.39,1496.31,1549.8,1728.36,1825.7,1644.15
4.27,1656.22,1912.66,1822.23,1493.7,1548.85,1728.27,1826.1,1643.65
4.28,1653.73,1913.49,1819.91,1491.0,1547.88,1728.18,1826.49,1643.14
4.29,1651.1,1914.32,1817.42,1488.2,1546.9,1728.08,1826.88,1642.62
4.3,1648.34,1915.14,1814.76,1485.29,1545.91,1727.97,1827.26,1642.09
4.31,1645.43,1915.96,1811.92,1482.28,1544.9,1727.85,1827.64,1641.55
4.32,1642.36,1916.77,1808.87,1479.15,1543.88,1727.72,1828.01,1640.99
4.33,1639.14,1917.58,1805.61,1475.89,1542.85,1727.58,1828.37,1640.43
4.34,1635.74,1918.39,1802.13,1472.51,1541.81,1727.44,1828.73,1639.85
4.35,1632.15,1919.19,1798.41,1468.98,1540.75,1727.28,1829.08,1639.27
4.36,1628.36,1919.99,1794.43,1465.31,1539.67,1727.12,1829.43,1638.67
4.37,1624.37,1920.79,1790.18,1461.49,1538.58,1726.95,1829.77,1638.06
4.38,1620.15,1921.58,1785.63,1457.5,1537.48,1726.76,1830.1,1637.44
4.39,1615.7,1922.37,1780.78,1453.33,1536.37,1726.57,1830.43,1636.8
4.4,1610.99,1923.16,1775.59,1448.98,1535.24,1726.37,1830.75,1636.16
4.41,1606.02,1923.94,1770.06,1444.43,1534.09,1726.16,1831.06,1635.5
4.42,1600.75,1924.72,1764.14,1439.67,1532.94,1725.94,1831.37,1634.84
4.43,1595.18,1925.49,1757.81,1434.68,1531.76,1725.72,1831.67,1634.16
4.44,1589.27,1926.26,1751.06,1429.45,1530.58,1725.48,1831.97,1633.47
4.45,1583.02,1927.03,1743.84,1423.96,1529.37,1725.23,1832.25,1632.76
4.46,1576.39,1927.79,1736.13,1418.2,1528.16,1724.98,1832.54,1632.05
4.47,1569.36,1928.55,1727.89,1412.14,1526.92,1724.71,1832.81,1631.32
4.48,1561.9,1929.3,1719.09,1405.76,1525.68,1724.43,1833.08,1630.58
4.49,1553.98,1930.05,1709.68,1399.04,1524.42,1724.15,1833.34,1629.83
